survey_id,program_id,has_access
1,P01,Yes
1,P02,Yes
1,P03,No
2,P01,No
2,P02,No
2,P03,Yes
3,P01,No
3,P02,No
3,P03,Yes
4,P01,No
4,P02,No
4,P03,No
5,P01,No
5,P02,Yes
5,P03,No
6,P01,No
6,P02,No
6,P03,No
7,P01,No
7,P02,Yes
7,P03,No
8,P01,No
8,P02,No
8,P03,No
9,P01,No
9,P02,Yes
9,P03,No
10,P01,No
10,P02,No
10,P03,No
11,P01,No
11,P02,No
11,P03,No
12,P01,No
12,P02,No
12,P03,No
13,P01,No
13,P02,No
13,P03,No
14,P01,No
14,P02,No
14,P03,No
15,P01,No
15,P02,No
15,P03,Yes
16,P01,No
16,P02,No
16,P03,No
17,P01,No
17,P02,Yes
17,P03,No
18,P01,No
18,P02,No
18,P03,Yes
19,P01,Yes
19,P02,No
19,P03,No
20,P01,No
20,P02,Yes
20,P03,No
21,P01,Yes
21,P02,Yes
21,P03,Yes
22,P01,No
22,P02,Yes
22,P03,No
23,P01,No
23,P02,No
23,P03,No
24,P01,No
24,P02,No
24,P03,No
25,P01,No
25,P02,Yes
25,P03,No
26,P01,Yes
26,P02,Yes
26,P03,No
27,P01,No
27,P02,No
27,P03,No
28,P01,No
28,P02,No
28,P03,Yes
29,P01,Yes
29,P02,Yes
29,P03,Yes
30,P01,No
30,P02,Yes
30,P03,No
31,P01,Yes
31,P02,No
31,P03,No
32,P01,No
32,P02,No
32,P03,No
33,P01,No
33,P02,No
33,P03,No
34,P01,No
34,P02,No
34,P03,Yes
35,P01,No
35,P02,No
35,P03,No
36,P01,No
36,P02,No
36,P03,No
37,P01,No
37,P02,No
37,P03,No
38,P01,No
38,P02,Yes
38,P03,No
39,P01,No
39,P02,No
39,P03,No
40,P01,No
40,P02,Yes
40,P03,No
41,P01,No
41,P02,No
41,P03,Yes
42,P01,No
42,P02,No
42,P03,Yes
43,P01,Yes
43,P02,No
43,P03,No
44,P01,No
44,P02,No
44,P03,No
45,P01,No
45,P02,No
45,P03,Yes
46,P01,No
46,P02,No
46,P03,No
47,P01,Yes
47,P02,No
47,P03,No
48,P01,Yes
48,P02,No
48,P03,Yes
49,P01,Yes
49,P02,No
49,P03,No
50,P01,No
50,P02,No
50,P03,No
51,P01,Yes
51,P02,Yes
51,P03,Yes
52,P01,No
52,P02,Yes
52,P03,Yes
53,P01,Yes
53,P02,No
53,P03,No
54,P01,Yes
54,P02,No
54,P03,No
55,P01,No
55,P02,Yes
55,P03,No
56,P01,No
56,P02,No
56,P03,No
57,P01,No
57,P02,Yes
57,P03,Yes
58,P01,No
58,P02,No
58,P03,Yes
59,P01,Yes
59,P02,No
59,P03,No
60,P01,Yes
60,P02,Yes
60,P03,No
61,P01,No
61,P02,No
61,P03,No
62,P01,No
62,P02,No
62,P03,Yes
63,P01,No
63,P02,No
63,P03,No
64,P01,Yes
64,P02,No
64,P03,No
65,P01,Yes
65,P02,No
65,P03,No
