user_id,age,age_group,gender
1,15,13-17,Female
2,48,45-54,Female
3,44,35-44,Female
4,13,13-17,Female
5,35,35-44,Male
6,35,35-44,Female
7,26,25-34,Male
8,16,13-17,Male
9,26,25-34,Male
10,61,55+,Female
11,58,55+,Male
12,33,25-34,Male
13,53,45-54,Male
14,14,13-17,Male
15,23,18-24,Female
16,21,18-24,Male
17,22,18-24,Prefer not to say
18,19,18-24,Female
19,39,35-44,Male
20,28,25-34,Female
21,31,25-34,Male
22,31,25-34,Male
23,16,13-17,Non-binary
24,20,18-24,Female
25,19,18-24,Male
26,40,35-44,Male
27,28,25-34,Male
28,40,35-44,Female
29,29,25-34,Male
30,14,13-17,Male
31,44,35-44,Male
32,18,18-24,Male
33,18,18-24,Female
34,65,55+,Male
35,51,45-54,Female
36,18,18-24,Male
37,18,18-24,Male
38,22,18-24,Female
39,30,25-34,Female
40,22,18-24,Female
41,18,18-24,Male
42,27,25-34,Female
43,16,13-17,Male
44,22,18-24,Male
45,16,13-17,Male
46,13,13-17,Male
47,25,25-34,Female
48,14,13-17,Male
49,27,25-34,Male
50,33,25-34,Male
51,31,25-34,Male
52,52,45-54,Male
53,51,45-54,Female
54,23,18-24,Female
55,20,18-24,Female
56,51,45-54,Male
57,37,35-44,Male
58,19,18-24,Male
59,17,13-17,Male
60,17,13-17,Male
61,21,18-24,Male
62,30,25-34,Female
63,20,18-24,Female
64,38,35-44,Female
65,31,25-34,Female
66,16,13-17,Male
67,33,25-34,Female
68,42,35-44,Male
69,22,18-24,Female
70,14,13-17,Female
71,17,13-17,Female
72,23,18-24,Male
73,19,18-24,Female
74,19,18-24,Female
75,35,35-44,Male
76,44,35-44,Male
77,25,25-34,Female
78,19,18-24,Female
79,26,25-34,Male
80,31,25-34,Male
81,37,35-44,Male
82,19,18-24,Female
83,35,35-44,Male
84,21,18-24,Female
85,16,13-17,Male
86,51,45-54,Female
87,23,18-24,Male
88,21,18-24,Male
89,22,18-24,Male
90,19,18-24,Female
91,57,55+,Male
92,24,18-24,Male
93,15,13-17,Male
94,32,25-34,Male
95,22,18-24,Male
96,21,18-24,Male
97,14,13-17,Male
98,33,25-34,Female
99,36,35-44,Female
100,37,35-44,Male
101,16,13-17,Male
102,15,13-17,Non-binary
103,59,55+,Male
104,37,35-44,Male
105,39,35-44,Male
106,37,35-44,Male
107,17,13-17,Female
108,29,25-34,Male
109,20,18-24,Male
110,36,35-44,Male
111,26,25-34,Male
112,42,35-44,Female
113,22,18-24,Male
114,33,25-34,Female
115,23,18-24,Male
116,24,18-24,Male
117,36,35-44,Male
118,14,13-17,Male
119,24,18-24,Female
120,26,25-34,Female
121,20,18-24,Female
122,22,18-24,Male
123,32,25-34,Male
124,20,18-24,Male
125,33,25-34,Female
126,25,25-34,Male
127,37,35-44,Male
128,41,35-44,Female
129,32,25-34,Female
130,33,25-34,Male
131,34,25-34,Female
132,62,55+,Female
133,33,25-34,Female
134,40,35-44,Female
135,53,45-54,Male
136,43,35-44,Female
137,32,25-34,Female
138,22,18-24,Male
139,13,13-17,Male
140,39,35-44,Male
141,48,45-54,Male
142,47,45-54,Female
143,15,13-17,Non-binary
144,26,25-34,Male
145,31,25-34,Female
146,21,18-24,Male
147,13,13-17,Non-binary
148,16,13-17,Male
149,23,18-24,Female
150,13,13-17,Male
151,29,25-34,Prefer not to say
152,16,13-17,Female
153,15,13-17,Male
154,13,13-17,Female
155,28,25-34,Male
156,48,45-54,Male
157,29,25-34,Female
158,44,35-44,Male
159,37,35-44,Male
160,30,25-34,Female
161,41,35-44,Male
162,39,35-44,Female
163,41,35-44,Male
164,27,25-34,Female
165,28,25-34,Female
166,19,18-24,Non-binary
167,32,25-34,Female
168,23,18-24,Female
169,26,25-34,Male
170,20,18-24,Male
171,19,18-24,Prefer not to say
172,44,35-44,Male
173,44,35-44,Female
174,30,25-34,Male
175,31,25-34,Female
176,19,18-24,Female
177,39,35-44,Male
178,21,18-24,Female
179,39,35-44,Female
180,25,25-34,Male
181,31,25-34,Female
182,21,18-24,Non-binary
183,21,18-24,Male
184,24,18-24,Male
185,32,25-34,Male
186,31,25-34,Male
187,21,18-24,Female
188,24,18-24,Male
189,18,18-24,Male
190,37,35-44,Male
191,22,18-24,Female
192,22,18-24,Male
193,23,18-24,Female
194,25,25-34,Male
195,35,35-44,Male
196,33,25-34,Male
197,49,45-54,Female
198,25,25-34,Male
199,46,45-54,Male
200,27,25-34,Male
201,31,25-34,Female
202,25,25-34,Male
203,15,13-17,Female
204,13,13-17,Male
205,17,13-17,Male
206,15,13-17,Male
207,39,35-44,Male
208,33,25-34,Female
209,27,25-34,Female
210,24,18-24,Female
211,20,18-24,Female
212,35,35-44,Female
213,17,13-17,Male
214,54,45-54,Female
215,19,18-24,Male
216,49,45-54,Male
217,21,18-24,Non-binary
218,32,25-34,Female
219,33,25-34,Male
220,21,18-24,Male
221,21,18-24,Male
222,26,25-34,Female
223,22,18-24,Female
224,31,25-34,Female
225,19,18-24,Female
226,40,35-44,Female
227,24,18-24,Male
228,25,25-34,Female
229,43,35-44,Female
230,44,35-44,Male
231,20,18-24,Male
232,24,18-24,Male
233,18,18-24,Male
234,38,35-44,Female
235,28,25-34,Female
236,29,25-34,Female
237,16,13-17,Female
238,20,18-24,Male
239,33,25-34,Female
240,54,45-54,Male
241,26,25-34,Female
242,13,13-17,Male
243,14,13-17,Male
244,19,18-24,Male
245,41,35-44,Female
246,17,13-17,Male
247,43,35-44,Male
248,63,55+,Female
249,37,35-44,Male
250,41,35-44,Male
251,47,45-54,Female
252,42,35-44,Female
253,52,45-54,Male
254,18,18-24,Female
255,27,25-34,Female
256,31,25-34,Male
257,22,18-24,Male
258,54,45-54,Male
259,32,25-34,Male
260,47,45-54,Female
261,22,18-24,Female
262,28,25-34,Male
263,28,25-34,Female
264,29,25-34,Male
265,37,35-44,Female
266,25,25-34,Female
267,25,25-34,Male
268,39,35-44,Female
269,28,25-34,Male
270,34,25-34,Male
271,20,18-24,Female
272,20,18-24,Prefer not to say
273,25,25-34,Female
274,27,25-34,Male
275,38,35-44,Male
276,15,13-17,Male
277,24,18-24,Male
278,60,55+,Female
279,17,13-17,Female
280,20,18-24,Male
281,28,25-34,Female
282,21,18-24,Female
283,47,45-54,Male
284,20,18-24,Female
285,30,25-34,Male
286,42,35-44,Prefer not to say
287,40,35-44,Prefer not to say
288,33,25-34,Female
289,42,35-44,Female
290,40,35-44,Female
291,34,25-34,Male
292,28,25-34,Male
293,60,55+,Male
294,34,25-34,Female
295,32,25-34,Female
296,18,18-24,Female
297,31,25-34,Female
298,22,18-24,Female
299,31,25-34,Male
300,47,45-54,Female
301,21,18-24,Prefer not to say
302,15,13-17,Female
303,42,35-44,Male
304,24,18-24,Male
305,28,25-34,Prefer not to say
306,18,18-24,Male
307,38,35-44,Female
308,14,13-17,Female
309,18,18-24,Female
310,14,13-17,Female
311,22,18-24,Female
312,28,25-34,Male
313,24,18-24,Male
314,25,25-34,Male
315,22,18-24,Male
316,53,45-54,Female
317,32,25-34,Male
318,16,13-17,Male
319,18,18-24,Female
320,14,13-17,Male
321,15,13-17,Female
322,38,35-44,Female
323,51,45-54,Male
324,26,25-34,Female
325,22,18-24,Female
326,31,25-34,Female
327,31,25-34,Male
328,24,18-24,Female
329,24,18-24,Male
330,34,25-34,Female
331,32,25-34,Male
332,27,25-34,Female
333,14,13-17,Female
334,18,18-24,Male
335,19,18-24,Female
336,38,35-44,Female
337,17,13-17,Female
338,22,18-24,Female
339,38,35-44,Female
340,33,25-34,Male
341,23,18-24,Female
342,45,45-54,Female
343,20,18-24,Female
344,28,25-34,Male
345,46,45-54,Male
346,19,18-24,Male
347,47,45-54,Male
348,18,18-24,Female
349,40,35-44,Female
350,18,18-24,Female
351,32,25-34,Female
352,22,18-24,Male
353,36,35-44,Male
354,43,35-44,Female
355,43,35-44,Female
356,54,45-54,Female
357,41,35-44,Male
358,14,13-17,Male
359,58,55+,Female
360,24,18-24,Male
361,21,18-24,Female
362,22,18-24,Female
363,54,45-54,Female
364,17,13-17,Prefer not to say
365,17,13-17,Female
366,34,25-34,Female
367,32,25-34,Female
368,43,35-44,Female
369,23,18-24,Male
370,32,25-34,Male
371,29,25-34,Female
372,39,35-44,Female
373,21,18-24,Female
374,15,13-17,Male
375,19,18-24,Male
376,31,25-34,Male
377,33,25-34,Male
378,18,18-24,Female
379,17,13-17,Male
380,25,25-34,Female
381,27,25-34,Female
382,65,55+,Male
383,20,18-24,Female
384,19,18-24,Male
385,14,13-17,Male
386,47,45-54,Female
387,43,35-44,Female
388,22,18-24,Female
389,42,35-44,Female
390,17,13-17,Female
391,23,18-24,Male
392,35,35-44,Female
393,44,35-44,Female
394,18,18-24,Male
395,17,13-17,Female
396,42,35-44,Prefer not to say
397,43,35-44,Female
398,15,13-17,Male
399,14,13-17,Male
400,20,18-24,Male
401,22,18-24,Female
402,34,25-34,Female
403,19,18-24,Female
404,17,13-17,Female
405,13,13-17,Female
406,29,25-34,Male
407,40,35-44,Non-binary
408,29,25-34,Male
409,42,35-44,Female
410,31,25-34,Prefer not to say
411,20,18-24,Male
412,22,18-24,Male
413,30,25-34,Male
414,32,25-34,Male
415,40,35-44,Female
416,15,13-17,Female
417,55,55+,Female
418,53,45-54,Male
419,34,25-34,Male
420,29,25-34,Female
421,27,25-34,Female
422,30,25-34,Female
423,28,25-34,Male
424,32,25-34,Female
425,22,18-24,Female
426,43,35-44,Male
427,41,35-44,Female
428,25,25-34,Male
429,18,18-24,Male
430,20,18-24,Male
431,28,25-34,Male
432,34,25-34,Male
433,24,18-24,Male
434,62,55+,Female
435,23,18-24,Male
436,23,18-24,Female
437,39,35-44,Female
438,35,35-44,Male
439,35,35-44,Female
440,28,25-34,Female
441,46,45-54,Male
442,15,13-17,Male
443,34,25-34,Female
444,20,18-24,Female
445,24,18-24,Female
446,26,25-34,Male
447,23,18-24,Female
448,37,35-44,Male
449,63,55+,Male
450,37,35-44,Female
451,49,45-54,Female
452,21,18-24,Female
453,18,18-24,Female
454,34,25-34,Female
455,18,18-24,Non-binary
456,26,25-34,Male
457,40,35-44,Female
458,33,25-34,Male
459,21,18-24,Male
460,19,18-24,Male
461,27,25-34,Male
462,44,35-44,Female
463,36,35-44,Male
464,20,18-24,Male
465,25,25-34,Non-binary
466,27,25-34,Male
467,17,13-17,Female
468,28,25-34,Female
469,30,25-34,Male
470,40,35-44,Female
471,26,25-34,Female
472,19,18-24,Male
