survey_id,exercise_frequency_id,sleep_hours,sleep_quality_score
1,102,6.7,70
2,103,7.3,80
3,102,7.2,89
4,101,6.6,83
5,102,6.9,87
6,101,7.0,96
7,102,5.9,55
8,102,5.3,61
9,102,7.0,84
10,103,8.7,100
11,102,7.9,82
12,103,7.7,80
13,103,7.0,88
14,102,6.7,88
15,102,7.1,84
16,102,7.0,83
17,102,6.4,76
18,101,5.9,80
19,102,5.4,52
20,102,5.9,58
21,103,5.9,53
22,101,6.6,58
23,101,5.2,67
24,102,7.1,97
25,101,5.8,73
26,101,7.5,77
27,103,8.4,100
28,102,7.1,90
29,102,5.8,56
30,103,6.3,66
31,102,8.2,89
32,102,6.2,58
33,102,7.6,100
34,101,6.7,90
35,103,8.4,98
36,101,6.0,66
37,102,6.1,71
38,103,7.9,94
39,102,7.2,100
40,103,6.7,78
41,101,5.3,71
42,103,6.9,83
43,102,6.3,70
44,103,5.8,53
45,103,7.5,100
46,102,6.7,81
47,101,7.0,93
48,102,7.4,91
49,101,8.2,100
50,103,6.5,78
51,103,7.2,84
52,102,6.7,59
53,102,6.7,88
54,101,8.1,87
55,103,6.4,68
56,102,4.6,41
57,103,6.4,53
58,103,8.4,100
59,102,5.9,74
60,101,5.7,63
61,101,7.0,70
62,103,7.6,80
63,102,5.9,68
64,103,6.5,62
65,103,6.8,89
66,101,5.7,66
67,102,6.7,93
68,102,6.2,74
69,102,6.7,85
70,101,6.1,71
71,102,6.8,84
72,102,6.6,77
73,101,7.2,82
74,102,6.0,57
75,102,6.5,100
76,102,7.1,89
77,103,6.8,82
78,101,6.5,74
79,102,7.9,80
80,101,6.3,71
81,103,7.8,93
82,103,6.3,93
83,102,7.3,82
84,102,7.5,73
85,102,5.6,57
86,101,7.2,85
87,101,5.5,55
88,102,6.3,74
89,101,6.3,50
90,101,7.3,95
91,103,7.3,74
92,102,4.6,49
93,101,5.8,89
94,102,7.0,90
95,102,6.4,80
96,101,7.4,100
97,103,5.4,61
98,102,6.5,83
99,102,6.9,73
100,102,7.1,94
101,101,7.1,84
102,101,6.7,86
103,103,6.9,83
104,102,4.7,56
105,101,5.7,63
106,101,6.7,71
107,102,5.5,52
108,101,7.2,72
109,101,7.7,88
110,102,8.0,87
111,101,6.4,75
112,102,6.5,68
113,102,6.9,80
114,101,7.7,100
115,101,5.9,71
116,102,7.2,77
117,102,6.6,83
118,103,6.7,77
119,102,5.8,71
120,102,4.3,52
121,103,5.8,78
122,101,7.1,85
123,101,6.8,87
124,103,6.6,73
125,102,6.9,92
126,101,5.6,76
127,101,6.3,79
128,103,7.1,86
129,101,8.1,90
130,103,5.7,52
131,103,6.1,73
132,103,7.2,92
133,102,7.1,84
134,102,5.7,62
135,101,7.6,88
136,101,6.2,79
137,102,5.9,72
138,102,5.9,56
139,101,6.5,57
140,103,7.9,100
141,101,6.0,87
142,101,6.3,69
143,101,5.9,79
144,101,6.3,67
145,101,5.6,79
146,101,6.0,72
147,103,7.1,80
148,102,6.2,83
149,102,6.0,63
150,101,6.0,78
151,101,5.2,48
152,103,5.8,85
153,103,5.4,62
154,102,5.1,67
155,103,7.2,100
156,103,7.8,91
157,101,4.7,60
158,102,7.4,93
159,102,6.8,71
160,101,6.2,75
161,103,5.6,53
162,102,6.7,90
163,102,6.2,93
164,101,7.1,76
165,102,7.3,95
166,101,6.7,100
167,102,8.2,98
168,102,7.0,70
169,101,7.7,85
170,101,6.1,61
171,101,7.1,92
172,102,6.8,99
173,101,7.0,93
174,102,7.0,88
175,102,6.4,82
176,102,5.8,88
177,103,5.9,47
178,102,6.5,80
179,102,7.3,84
180,102,6.6,77
181,102,6.6,74
182,102,6.6,76
183,102,6.7,91
184,102,6.1,73
185,101,6.0,72
186,102,7.1,87
187,102,9.0,95
188,102,7.3,85
189,103,6.7,80
190,102,6.8,74
191,101,5.7,80
192,101,5.9,81
193,102,6.1,79
194,103,6.0,74
195,103,6.6,77
196,102,8.0,98
197,103,7.5,100
198,101,4.0,34
199,103,6.2,67
200,103,5.6,75
201,102,6.4,89
202,103,6.9,86
203,101,5.5,63
204,102,6.4,94
205,102,6.2,61
206,103,6.9,62
207,102,5.3,54
208,103,7.3,87
209,102,6.1,78
210,103,6.5,64
211,101,7.1,89
212,103,7.0,86
