survey_id,platform_id,content_type_id,daily_screen_time_hours,notification_checks_per_day,night_checking_frequency_id,uses_social_media_before_bed,social_media_detox_habit,limited_screen_time_habit
1,1,5,3.89,36,1,Yes,No,Yes
2,1,2,2.96,49,1,Yes,Yes,Yes
3,4,4,5.36,43,1,Yes,Yes,Yes
4,3,2,4.5,44,1,Yes,No,No
5,3,3,2.79,35,1,No,No,No
6,2,5,2.99,33,1,Yes,Yes,No
7,2,1,4.22,45,3,Yes,No,No
8,5,5,4.98,36,3,Yes,Yes,Yes
9,7,2,3.91,37,2,No,No,Yes
10,6,7,0.66,21,1,No,No,No
11,1,3,3.18,40,2,No,Yes,Yes
12,1,2,3.9,31,2,Yes,No,No
13,2,2,2.89,31,1,No,Yes,No
14,5,2,4.42,51,2,Yes,No,Yes
15,4,4,0.73,22,3,Yes,No,No
16,6,4,4.02,36,1,Yes,No,Yes
17,2,6,7.26,62,2,Yes,No,No
18,4,7,2.82,40,2,Yes,Yes,No
19,1,6,5.24,44,3,Yes,No,No
20,3,4,6.08,52,2,Yes,No,No
21,1,7,3.73,35,3,Yes,No,No
22,2,1,5.24,53,3,No,Yes,No
23,2,4,7.91,52,2,Yes,No,No
24,2,5,5.43,52,1,No,No,No
25,1,4,6.7,46,2,No,No,Yes
26,1,1,2.67,14,1,No,No,Yes
27,2,5,3.92,34,1,No,No,Yes
28,1,1,5.43,50,2,Yes,No,Yes
29,1,4,5.57,42,2,No,Yes,No
30,5,2,3.52,42,3,Yes,Yes,No
31,1,4,1.77,16,1,No,No,No
32,1,3,4.2,47,3,Yes,Yes,Yes
33,2,1,2.86,33,2,No,No,Yes
34,3,5,4.19,44,1,Yes,Yes,No
35,5,7,0.4,23,1,No,No,No
36,7,5,5.41,62,1,Yes,No,Yes
37,6,2,3.91,48,2,Yes,Yes,Yes
38,5,5,3.23,36,1,Yes,No,No
39,2,4,3.63,31,1,Yes,No,Yes
40,5,5,4.68,46,1,Yes,No,No
41,3,1,5.7,43,2,No,No,No
42,1,7,3.67,38,2,Yes,No,No
43,2,5,3.61,35,3,Yes,No,No
44,2,7,5.24,41,1,Yes,No,No
45,6,1,4.7,51,1,No,No,No
46,1,6,4.86,48,2,Yes,No,No
47,1,8,4.23,28,1,No,No,No
48,5,7,1.85,28,2,No,No,No
49,4,6,3.11,27,1,No,No,No
50,2,5,5.9,44,1,No,No,No
51,4,4,2.95,34,1,Yes,No,No
52,3,5,3.06,25,1,No,No,No
53,3,7,2.48,19,1,Yes,No,Yes
54,6,1,3.42,40,2,No,No,Yes
55,7,4,3.24,27,1,Yes,No,No
56,3,2,4.66,37,3,Yes,No,No
57,2,1,5.28,48,3,Yes,No,Yes
58,4,3,1.07,33,1,No,No,No
